episode,high,mid,low,choice,win,order,total_wins,wins_to_that_point,fund
156,40,30000,10000,2500,Middle choice,Contestant Wins,1,1,0.0,0
157,40,25000,8000,1000,Middle choice,Chaser Wins,2,1,1.0,10000
158,40,35000,10000,2000,Middle choice,Contestant Wins,3,2,1.0,0
159,40,50000,18000,3000,Middle choice,Contestant Wins,4,3,2.0,10000
160,41,20000,4000,500,Middle choice,Contestant Wins,1,1,0.0,0
161,41,35000,10000,2000,Middle choice,Chaser Wins,2,1,1.0,4000
162,41,40000,10000,3000,Middle choice,Chaser Wins,3,1,1.0,0
163,41,50000,12000,2500,Low choice,Contestant Wins,4,2,1.0,0
164,42,32000,12000,7000,Middle choice,Chaser Wins,1,0,0.0,0
165,42,40000,10000,5000,Middle choice,Contestant Wins,2,1,0.0,0
166,42,35000,12000,6000,Middle choice,Contestant Wins,3,2,1.0,10000
167,42,38000,8000,4000,Middle choice,Chaser Wins,4,2,2.0,22000
168,43,34000,14000,4000,Middle choice,Chaser Wins,1,0,0.0,0
169,43,48000,22000,10000,Low choice,Chaser Wins,2,0,0.0,0
170,43,30000,12000,5000,Low choice,Contestant Wins,3,1,0.0,0
171,43,45000,20000,7000,Top choice,Contestant Wins,4,2,1.0,5000
172,44,36000,12000,6000,Middle choice,Contestant Wins,1,1,0.0,0
173,44,48000,18000,9000,Middle choice,Chaser Wins,2,1,1.0,12000
174,44,28000,10000,5000,Middle choice,Chaser Wins,3,1,1.0,0
175,44,44000,16000,8000,Middle choice,Contestant Wins,4,2,1.0,0
176,45,40000,16000,7000,Top choice,Chaser Wins,1,0,0.0,0
177,45,25000,10000,4000,Middle choice,Contestant Wins,2,1,0.0,0
178,45,45000,16000,6000,Middle choice,Contestant Wins,3,2,1.0,10000
179,45,34000,10000,4000,Top choice,Chaser Wins,4,2,2.0,26000
180,46,35000,12000,6000,Middle choice,Chaser Wins,1,0,0.0,0
181,46,40000,8000,2000,Middle choice,Chaser Wins,2,0,0.0,0
182,46,64000,14000,4000,Middle choice,Contestant Wins,3,1,0.0,0
183,46,86000,18000,6000,Top choice,Chaser Wins,4,1,1.0,14000
184,47,20000,8000,5000,Middle choice,Chaser Wins,1,0,0.0,0
185,47,38000,22000,10000,Middle choice,Contestant Wins,2,1,0.0,0
186,47,28000,14000,6000,Middle choice,Contestant Wins,3,2,1.0,22000
187,47,24000,12000,6000,Middle choice,Chaser Wins,4,2,2.0,36000
188,48,30000,10000,5000,Middle choice,Contestant Wins,1,1,0.0,0
189,48,20000,4000,1000,Top choice,Chaser Wins,2,1,1.0,10000
190,48,50000,16000,8000,Middle choice,Contestant Wins,3,2,1.0,0
191,48,44000,10000,4000,Middle choice,Contestant Wins,4,3,2.0,16000
192,49,24000,14000,5000,Middle choice,Chaser Wins,1,0,0.0,0
193,49,42000,8000,2000,Middle choice,Contestant Wins,2,1,0.0,0
194,49,30000,14000,4000,Low choice,Chaser Wins,3,1,1.0,8000
195,49,32000,8000,2000,Middle choice,Chaser Wins,4,1,1.0,0
196,50,50000,20000,4000,Middle choice,Contestant Wins,1,1,0.0,0
197,50,35000,10000,2000,Low choice,Chaser Wins,2,1,1.0,20000
198,50,30000,8000,1000,Middle choice,Chaser Wins,3,1,1.0,0
199,50,20000,2000,-1000,Middle choice,Contestant Wins,4,2,1.0,0
200,51,38000,14000,3200,Middle choice,Contestant Wins,1,1,0.0,0
201,51,44000,12000,3000,Middle choice,Contestant Wins,2,2,1.0,14000
202,51,48000,12000,2000,Middle choice,Contestant Wins,3,3,2.0,26000
203,51,55000,14000,10000,Middle choice,Contestant Wins,4,4,3.0,38000
204,52,60000,18000,2000,Middle choice,Chaser Wins,1,0,0.0,0
205,52,45000,12000,1500,Middle choice,Chaser Wins,2,0,0.0,0
206,52,50000,12000,2000,Middle choice,Contestant Wins,3,1,0.0,0
207,52,60000,16000,3000,Middle choice,Contestant Wins,4,2,1.0,12000
208,53,50000,20000,4000,Middle choice,Contestant Wins,1,1,0.0,0
209,53,35000,10000,2000,Low choice,Chaser Wins,2,1,1.0,20000
210,53,30000,8000,1000,Middle choice,Chaser Wins,3,1,1.0,0
211,53,20000,2000,-1000,Middle choice,Contestant Wins,4,2,1.0,0
212,54,45000,16000,4000,Middle choice,Contestant Wins,1,1,0.0,0
213,54,40000,8000,1000,Middle choice,Contestant Wins,2,2,1.0,16000
214,54,50000,12000,3000,Middle choice,Chaser Wins,3,2,2.0,24000
215,54,60000,10000,2000,Middle choice,Contestant Wins,4,3,2.0,0
216,55,45000,18000,3000,Middle choice,Contestant Wins,1,1,0.0,0
217,55,25000,6000,1000,Middle choice,Chaser Wins,2,1,1.0,18000
218,55,50000,18000,2000,Middle choice,Contestant Wins,3,2,1.0,0
219,55,40000,14000,500,Middle choice,Contestant Wins,4,3,2.0,18000
220,56,35000,12000,3500,Middle choice,Contestant Wins,1,1,0.0,0
221,56,30000,10000,3000,Middle choice,Contestant Wins,2,2,1.0,12000
222,56,50000,16000,4000,Middle choice,Contestant Wins,3,3,2.0,22000
223,56,60000,18000,-1000,Middle choice,Contestant Wins,4,4,3.0,38000
224,57,50000,20000,4000,Middle choice,Contestant Wins,1,1,0.0,0
225,57,55000,14000,2000,Middle choice,Contestant Wins,2,2,1.0,20000
226,57,60000,12000,1000,Middle choice,Chaser Wins,3,2,2.0,34000
227,57,65000,8000,-1000,Top choice,Chaser Wins,4,2,2.0,0
228,58,30000,10000,2500,Middle choice,Contestant Wins,1,1,0.0,0
229,58,40000,12000,3000,Middle choice,Chaser Wins,2,1,1.0,10000
230,58,50000,12000,3000,Low choice,Contestant Wins,3,2,1.0,0
231,58,60000,10000,2000,Middle choice,Contestant Wins,4,3,2.0,3000
232,59,35000,10000,2500,Middle choice,Contestant Wins,1,1,0.0,0
233,59,45000,16000,3500,Middle choice,Contestant Wins,2,2,1.0,10000
234,59,40000,10000,2000,Middle choice,Contestant Wins,3,3,2.0,26000
235,59,56000,20000,4000,Middle choice,Chaser Wins,4,3,3.0,36000
236,60,33000,12000,3000,Middle choice,Contestant Wins,1,1,0.0,0
237,60,35000,12000,2500,Low choice,Chaser Wins,2,1,1.0,12000
238,60,44000,18000,2000,Middle choice,Chaser Wins,3,1,1.0,0
239,60,40000,12000,1000,Middle choice,Contestant Wins,4,2,1.0,0
240,61,40000,14000,3000,Middle choice,Chaser Wins,1,1,0.0,0
241,61,45000,14000,3000,Middle choice,Contestant Wins,2,1,0.0,0
242,61,40000,10000,2000,Low choice,Contestant Wins,3,2,1.0,14000
243,61,50000,14000,1000,Middle choice,Contestant Wins,4,3,2.0,16000
244,62,40000,12000,3000,Middle choice,Contestant Wins,1,1,0.0,0
